         19712 function calls (18393 primitive calls) in 0.248 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.002    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:1479(visit_Output)
    25/12    0.000    0.000    0.002    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:771(parse_postfix)
        8    0.000    0.000    0.002    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:911(parse_call)
        3    0.000    0.000    0.002    0.001 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:2089(info)
      483    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
        3    0.000    0.000    0.002    0.001 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:1436(info)
        3    0.000    0.000    0.002    0.001 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:1565(_log)
        8    0.000    0.000    0.002    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/parser.py:862(parse_call_args)
       33    0.000    0.000    0.002    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:401(expect)
   194/39    0.000    0.000    0.002    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/visitor.py:44(generic_visit)
   225/15    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/nodes.py:193(find_all)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:901(_find_spec)
        3    0.000    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:1591(handle)
        3    0.000    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:1645(callHandlers)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1406(find_spec)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1374(_get_spec)
        3    0.000    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:939(handle)
        3    0.001    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/logging/__init__.py:1071(emit)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1505(find_spec)
        8    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/runtime.py:260(call)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:659(_load_unlocked)
     3070    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        8    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/compiler.py:44(new_func)
        1    0.001    0.001    0.001    0.001 <frozen importlib._bootstrap_external>:1500(_get_spec)
        5    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/utils.py:155(open_if_exists)
        9    0.000    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_compile.py:598(_code)
        6    0.001    0.000    0.001    0.000 {built-in method io.open}
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:844(exec_module)
        5    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:602(tokenize)
        5    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/lexer.py:323(__init__)
        8    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel-lite/templates/navbar.html:4(root)
        6    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/werkzeug/utils.py:94(__get__)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:916(get_code)
        2    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/memory_profiler.py:117(_get_memory)
        2    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/memory_profiler.py:132(ps_util_tool)
     1562    0.001    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/nodes.py:145(iter_fields)
       13    0.001    0.000    0.001    0.000 {built-in method posix.stat}
     79/9    0.000    0.000    0.001    0.000 /Applications/Xcode.app/Contents/Developer/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/sre_compile.py:71(_compile)
       87    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     34/8    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/optimizer.py:30(generic_visit)
        2    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/psutil/__init__.py:322(__init__)
       16    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/jinja2/utils.py:81(from_obj)
        2    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/psutil/__init__.py:325(_init)
      8/4    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/psutil/_psosx.py:349(wrapper)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1036(get_data)
      6/4    0.000    0.000    0.001    0.000 /Users/bryceharmon/Desktop/nextreel/venv/lib/python3.9/site-packages/psutil/_common.py:487(wrapper)
